"","Fail_att","Pass_att","Fail_abs","Pass_abs","att_fail_perc","abs_fail_perc","Assessment","Year","p","FDR"
"1",4,209,4,50,1.87793427230047,7.40740740740741,"MCQ_A","2024","0.0555502657220148",0.11110053144403
"2",6,225,2,41,2.5974025974026,4.65116279069767,"MCQ_A","2023","0.615610161898241",0.79621392893787
"3",9,222,3,62,3.8961038961039,4.61538461538462,"MCQ_A","2022","0.729862768193048",0.79621392893787
"4",30,183,9,45,14.0845070422535,16.6666666666667,"MCQ_B","2024","0.666917174736248",0.79621392893787
"5",18,213,8,35,7.79220779220779,18.6046511627907,"MCQ_B","2023","0.0423483455063891",0.101636029215334
"6",31,201,17,48,13.3620689655172,26.1538461538462,"MCQ_B","2022","0.0209087806980831",0.0627263420942493
"7",14,199,5,49,6.57276995305164,9.25925925925926,"MCQ_C","2024","0.552406695892344",0.79621392893787
"8",6,225,7,36,2.5974025974026,16.2790697674419,"MCQ_C","2023","0.00122005499792522",0.0146406599751026
"9",2,230,5,60,0.862068965517241,7.69230769230769,"MCQ_C","2022","0.00640369779390788",0.0384221867634473
"10",41,172,19,35,19.2488262910798,35.1851851851852,"Exam","2024","0.0171668065017723",0.0627263420942493
"11",8,223,4,39,3.46320346320346,9.30232558139535,"Exam","2023","0.100620706458528",0.172492639643191
"12",3,226,1,61,1.31004366812227,1.61290322580645,"Exam","2022","1",1
