"","Q","comp","p","FDR","FDRall"
"1","Q1","BL","0.41145204414867",0.64526620697398,0.83645619422553
"2","Q1","AL","0.459619313936283",0.64526620697398,0.83645619422553
"3","Q1","AP","0.64526620697398",0.64526620697398,0.83645619422553
"4","Q2","BL","0.702117202374744",0.702117202374744,0.847382830452277
"5","Q2","AL","0.601501110529237",0.702117202374744,0.83645619422553
"6","Q2","AP","0.586656743458049",0.702117202374744,0.83645619422553
"7","Q3","BL","0.207952091354218",0.207952091354218,0.83645619422553
"8","Q3","AL","0.093091472232591",0.139637208348886,0.543033588023447
"9","Q3","AP","0.0046636228822213",0.0139908686466639,0.0816134004388728
"10","Q4","BL","0.00191944565444025",0.00575833696332075,0.0671805979054087
"11","Q4","AL","0.246442051511459",0.246442051511459,0.83645619422553
"12","Q4","AP","0.14286012418882",0.21429018628323,0.7143006209441
"13","Q5","BL","0.522872864328004",0.596144849419093,0.83645619422553
"14","Q5","AL","0.596144849419093",0.596144849419093,0.83645619422553
"15","Q5","AP","0.560336918161417",0.596144849419093,0.83645619422553
"16","Q6","BL","0.854807143729703",0.854807143729703,0.965104839694826
"17","Q6","AL","0.0182010225155228",0.0546030675465684,0.212345262681099
"18","Q6","AP","0.694984501935128",0.854807143729703,0.847382830452277
"19","Q7","BL","0.383561784269076",0.80693031551741,0.83645619422553
"20","Q7","AL","0.537953543678273",0.80693031551741,0.83645619422553
"21","Q7","AP","0.999203566773251",0.999203566773251,0.999203566773251
"22","Q8","BL","0.945486130956371",0.945486130956371,0.973294546572735
"23","Q8","AL","0.0819255782583007",0.245776734774902,0.543033588023447
"24","Q8","AP","0.634382703095619",0.945486130956371,0.83645619422553
"25","Q9","BL","0.31384924344609",0.537135189752781,0.83645619422553
"26","Q9","AL","0.392943905968281",0.537135189752781,0.83645619422553
"27","Q9","AP","0.537135189752781",0.537135189752781,0.83645619422553
"28","Q10","BL","0.26453283401353",0.396799251020295,0.83645619422553
"29","Q10","AL","0.527323209566584",0.527323209566584,0.83645619422553
"30","Q10","AP","0.0264072805299271",0.0792218415897813,0.231063704636862
"31","Q11","BL","0.926408253223607",0.931067552713034,0.973294546572735
"32","Q11","AL","0.931067552713034",0.931067552713034,0.973294546572735
"33","Q11","AP","0.294159338384453",0.882478015153359,0.83645619422553
"34","Q12","AP","0.793684980030863",0.793684980030863,0.925965810036007
"35","Q13","AP","0.324821664053404",0.324821664053404,0.83645619422553
